"Vendor Name ",Contact Email,Notes,Phone Number,Status,"Vendor City ","Vendor Services ",Vendor Type,Instagram link,Created by
Mediatronics,,Hosted multiple big names with a prominent mustafa zahid concert coming up,,Not started,Islamabad,Event management and marketing company,Marketing,https://www.instagram.com/mediatronicspak?igsh=aHB0b3Nvcjd4OWgy,Syed Muntazir Abbas
Esthetic Islamabad,estheticislamabad@gmail.com,Not a proper marketing/production company but have undertook many events of large scale,,Not started,Islamabad,"Cinematography, photography, film, fpv drone",Production,https://www.instagram.com/estheticislamabad?igsh=eHA4OWM4OWdnNHJu,Syed Muntazir Abbas
"Karimzz Production ",,Has taken a few events but my understanding is that he doesn't do very large scale events,,Not started,Islamabad,"Drone photography, videography, product shoot, event shoot",Production,https://www.instagram.com/karimzz_production?igsh=OGk2aHh2cnQ3MmRn,Syed Muntazir Abbas
Lighthouse Production,,,,Not started,Islamabad,"Media aganecy, production house",Production,https://www.instagram.com/lighthouse.prodductions?igsh=MWEwYzVyMnhqdG9oag==,Syed Muntazir Abbas
Events by OB,eventsbyobpakistan@gmail.com,"Have hosted big names and concerts for eg like havi, bayaan etc mostly but can cover smaller events like wedding etc as well",923037874765,Not started,Lahore,Event hosting and management company,Event Management,https://www.instagram.com/eventsbyobofficial?igsh=MXcyYnp2aGNqd3FsOQ==,Syed Muntazir Abbas
Karachi Bouncer Squad,shayanshahzad51@gmail.com,,923149612740,Not started,Karachi,"Artist security, event security, parties securities",Security,https://www.instagram.com/karachi_bouncers_squad?igsh=MWFyeW1wc3VsaWZjMA==,Syed Muntazir Abbas
AS Enterprise,albashaakhtar@gmail.com,IBA authorised vendor,923128422576,Not started,Karachi,Printing & general services,"General Supplies, Printing",,Syed Muntazir Abbas
Hyder Printers,hyderinfo@gmail.com,IBA authorised vendor,923118444112,Not started,Karachi,Printing services for events eg pamphlets etc,Printing,,Syed Muntazir Abbas
Ghori Enterprises,ghorienterprises02@gmail.com,IBA authorised vendor,923041038404,Not started,Karachi,"Food, decor, printing, photography, videography, general supplies ","Decor, Food, General Supplies, Printing, Production",,Syed Muntazir Abbas
"The Shutter Freaks ",sheikhalisultan786@gmail.com,IBA authorised vendor,923312688398,Not started,Karachi,"Photography and videography ",Production,,Syed Muntazir Abbas
"Modern Aim Advertising ",modernaim@gmail.com,IBA authorised vendor,923212425423,Not started,Karachi,"Printing, general supplies","General Supplies, Printing",,Syed Muntazir Abbas
Taheri Supply Agency,taherisupplyagency@gmail.com,IBA authorised vendor,923333001343,Not started,Karachi,"Food and decor, printing, photography, videography, general supply","Decor, Food, General Supplies, Printing, Production",,Syed Muntazir Abbas
Sohail Photostat,huzaifasohail33@gmail.com,IBA authorised vendor,923332068475,Not started,Karachi,"Printing ",Printing,,Syed Muntazir Abbas
Al Rashid Studio,al_rashid@live.com,IBA authorised vendor,923002539495,Not started,Karachi,"Photography, videography ",Production,,Syed Muntazir Abbas
Ambala,khizer.ambala@gmail.com,IBA authorised vendor,923468247259,Not started,Karachi,"Food, decor, printing, photography, videography, genrral supplies","Decor, Food, General Supplies, Printing, Production",,Syed Muntazir Abbas
Ovais Event Planners,ovaispuri10@gmail.com,IBA authorised vendor,923002550053,Not started,Karachi,Food and decor,"Decor, Event Management, Food",,Syed Muntazir Abbas
The Corporate Lunchbox,mahmedza@gmail.com,IBA authorised vendor,923322286381,Not started,Karachi,Food and decor,"Decor, Food",,Syed Muntazir Abbas
D Pacific Enterprises,dpacificeventplanners@gmail.com,IBA authorised vendor,923367442780,Not started,Karachi,"Food and decorations ","Decor, Food",,Syed Muntazir Abbas
Abdal Printers,abdalprinter@outlook.com,IBA authorised vendor,923208314091,Not started,Karachi,Printing,Printing,,Syed Muntazir Abbas
Indigo Caterers & Event Consulting,salmanzit@gmail.com,IBA authorised vendor,923332296155,Not started,Karachi,Food and decor,"Decor, Event Management, Food",,Syed Muntazir Abbas
Raza's Printers,razassolution@gmail.com,IBA authorised vendor,923120258774,Not started,Karachi,"Printing ",Printing,,Syed Muntazir Abbas
Print Eazy,printeazzy@gmail.com,IBA authorised vendor,923310222332,Not started,Karachi,Printing,Printing,,Syed Muntazir Abbas
Mehfil Event Planner,info.mehfileventplanner@gmail.com,IBA authorised vendor,923332278931,Not started,Karachi,Food and decor,"Decor, Event Management, Food",,Syed Muntazir Abbas
Marcem Event Planner,adeel.ahmed@marcem.com.pk,IBA authorised vendor,923222498489,Not started,Karachi,Food and decor,"Decor, Event Management, Food",,Syed Muntazir Abbas
Goventure,goventure001@gmail.com,IBA authorised vendor,923403328832,Not started,Karachi,Tour planner,Tour Planner,,Syed Muntazir Abbas
"Mammoth Tours ",mammoth.tours.trekkers@gmail.com,IBA authorised vendor,923132267694,Not started,Karachi,"Tour planner ",Tour Planner,,Syed Muntazir Abbas
Exploria,exploriapk@gmail.com,IBA authorised vendor,923133977314,Not started,Karachi,"Tour Planner ",Tour Planner,,Syed Muntazir Abbas
"The Event Artist ",theeventartist@yahoo.com,IBA authorised vendor,923452114845,Not started,Karachi,"Food, decor","Decor, Food",,Syed Muntazir Abbas
"MAS Enterprise ",alisiddiqui.lcp@gmail.com,IBA authorised vendor,923313586389,Not started,Karachi,"Food, decor, printing, photography, videography, general supplies","Decor, Food, General Supplies, Printing, Production",,Syed Muntazir Abbas
TFS,fazal@tfs.net.pk,IBA authorised vendor,923423583851,Not started,Karachi,"Food, decor, printing, photography, videography, general supplies, catering, designing, artist management, travelling","Decor, Food, General Supplies, Marketing, Printing, Production",,Syed Muntazir Abbas
OHS Foods,delfriozubair@gmail.com,IBA authorised vendor,923219223200,Not started,Karachi,"Catering event, management and decor","Decor, Event Management, Food",,Syed Muntazir Abbas
Wedlush,wedlush.pk@gmail.com,,923458638387,Not started,Islamabad,"Qawali nights, indoor and outdoor event decor","Decor, Event Management",https://www.instagram.com/wedlush.pk?igsh=MWYwcWxia2Jxc2o3bA==,Syed Muntazir Abbas
Magsi Decor,,,923152033448,Not started,Karachi,"Event management, decor, food, venue","Decor, Event Management, Food",https://www.instagram.com/magsi_event_management_company?igsh=ZGh6ajU5emplaDd0,Syed Muntazir Abbas
"Ronak Events & Catering ",eventsronak8@gmail.com,,923344440281,Not started,Islamabad,"Decor, planning, catering","Decor, Event Management, Food",https://www.instagram.com/ronak.events?igsh=MXN3eG9kcHN1aW9jZQ==,Syed Muntazir Abbas
"Onyx Security ",isbonyx@gmail.com,,92336 2323218,Not started,Islamabad,Security services,Security,,Syed Muntazir Abbas
"Overseas Event Management ",owmevents@hotmail.com,Hosted events for Al meezan group,923335470414,Not started,Islamabad,"Event management ",Event Management,,Syed Muntazir Abbas
"Royal Farm House ",,,923302496872,Not started,Karachi,Farmhouse for events,Venue,https://www.instagram.com/royalfarmhouse?igsh=MXZwMjdoMGhsN3Z4NA==,Syed Muntazir Abbas
"Swiss Valley Farm House ",swissresort45@gmail.com,,923252272020,Not started,Karachi,Farm house for corporate and private events,Venue,https://www.instagram.com/swiss_valley_farm_house?igsh=MXNsamgxcGgxaHBhYw==,Syed Muntazir Abbas
Sanctuary Beach House,sanctuarybeachhouse@gmail.com,,923228944111,Not started,Karachi,Beach house for events,Venue,https://www.instagram.com/sanctuarybeachhouse?igsh=OXJpN2QwaG1tcmU4,Syed Muntazir Abbas
Paisley Events,paisleyevents2018@gmail.com,,923323430160,Not started,"Islamabad, Karachi, Lahore",Event planning and management for all kinds of events,"Decor, Event Management",https://www.instagram.com/paisley.events?igsh=OHh6YWNnM2xzcDBu,Syed Muntazir Abbas
Lake View Resort,contact@lakeviewresortkhi.com,Well reputed,923111178643,Not started,Karachi,Luxury resort for events,Venue,https://www.instagram.com/lakeviewresort.pk?igsh=aHJxZmZsYmhzbGFk,Syed Muntazir Abbas
"Pakistan Wristbands ",pakistanwristbands@gmail.com,,923313147000,Not started,Lahore,RFIS wristbands for events esp concerts,General Supplies,https://www.instagram.com/pwcwristband?igsh=Ym1hdjRrZ2FyaXdn,Syed Muntazir Abbas
Sadiq Farmhouse,,Very well reputed,923124944652,Not started,"Karachi, Lahore","16 kanal Farmhosue, very large events",Venue,https://www.instagram.com/sadiqfarmhouse?igsh=d2ZhcWNuMDB1Y2Zo,Syed Muntazir Abbas
Events By Sana,events.sana@gmail.com,,923094222204,Not started,Lahore,"Event decor, event planning, catering","Decor, Event Management, Food",https://www.instagram.com/events.by.sana?igsh=MWxqbjFqdWJjcjZqeg==,Syed Muntazir Abbas
takreebkarlo.pk,takreebkarlo@gmail.com,,923352053578,Not started,Karachi,Event venue,Venue,https://www.instagram.com/takreebkaralo.pk?igsh=MWs2cWl5aXZudWs2Zg==,Syed Muntazir Abbas
Al Noor Cruise,alnoorcruise@gmail.com,,923353313311,Not started,Karachi,Luxury cruise for organising corporate and social events,Venue,https://www.instagram.com/alnoorcruise?igsh=MTk2bjd2NGlhNTgybA==,Syed Muntazir Abbas
Kalm,info@kalm.pk,"Provides all kind of labour services, our area of intrest is mainly waiters and other support staff",923361115256,Not started,Karachi,Staffing agency,Staff,https://www.instagram.com/kalm.pk?igsh=MWRrZ3dmY3Zzdno4YQ==,Syed Muntazir Abbas
Skylone Events,skylonevents@gmail.com,,923100472222,Not started,Karachi,"Event styling, planning, venue and catering","Decor, Event Management, Food, Venue",https://www.instagram.com/skylonevents?igsh=MW0xYmtzbTg4OG5wag==,Syed Muntazir Abbas
"Dera Daari Restaurant ",deradarirce@gmail.com,"Have held multiplr events including corporate events in the past, excellent views from resturant making it ideal",923105340595,Not started,Islamabad,"Venue, food","Food, Venue",https://www.instagram.com/deradaari?igsh=MW12OGVlcTJkc3N2ZQ==,Syed Muntazir Abbas
Shan Events Management,shanevents@hotmail.com,,923008544272,Not started,Islamabad,"Event management ",Event Management,https://www.instagram.com/shanevents?igsh=M3FoMmFyeWp3YWo=,Syed Muntazir Abbas
"Chateau Luxe Islamabad ",chateauluxeislamabad@gmail.com,"Multiple locations available ",923005153002,Not started,Islamabad,Event venue,Venue,https://www.instagram.com/chateauluxeisb?igsh=MWVhbnhld2gzOWpnNA==,Syed Muntazir Abbas
